epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82402,2.31118,2.78216,1.92895,0.00579,0.86885,0.34433,0.11651,1.9516,2.60012,1.75417,0.00026,0.00026,0.00026
2,6.9188,1.65197,1.86903,1.42623,0.03095,0.95902,0.49172,0.21662,1.5782,2.45658,1.38409,0.000533318,0.000533318,0.000533318
3,10.8669,1.56868,1.64043,1.35601,0.55207,0.3536,0.38964,0.18254,1.84123,2.53412,1.59594,0.000799705,0.000799705,0.000799705
4,13.7372,1.53837,1.58226,1.34043,0.56769,0.33607,0.40163,0.20098,1.72752,2.27159,1.66995,0.00105916,0.00105916,0.00105916
5,16.5126,1.51989,1.57907,1.35149,0.27011,0.61475,0.31084,0.13943,1.8267,2.05757,1.68957,0.00131169,0.00131169,0.00131169
6,19.293,1.53239,1.53674,1.32485,0.22187,0.39498,0.24707,0.10097,2.33037,2.22838,1.86191,0.00155729,0.00155729,0.00155729
7,23.467,1.55972,1.51116,1.3463,0.51549,0.66278,0.5107,0.2165,1.70331,1.79643,1.39816,0.00179596,0.00179596,0.00179596
8,26.3874,1.56805,1.53782,1.31997,0.36934,0.52459,0.31064,0.16601,1.82384,2.30862,1.50101,0.00182675,0.00182675,0.00182675
9,29.1787,1.4866,1.43354,1.29665,0.53275,0.52337,0.4756,0.20509,2.05527,2.35516,1.75733,0.001802,0.001802,0.001802
10,31.9557,1.47019,1.38975,1.30439,0.5856,0.556,0.61187,0.30549,1.91496,2.26965,1.54535,0.00177725,0.00177725,0.00177725
11,35.7638,1.44155,1.36819,1.29421,0.6328,0.66389,0.69813,0.38451,1.56498,1.5065,1.36705,0.0017525,0.0017525,0.0017525
12,39.7602,1.41186,1.39246,1.28607,0.73233,0.68033,0.73826,0.36839,1.59588,1.55272,1.26242,0.00172775,0.00172775,0.00172775
13,42.9596,1.42947,1.36494,1.27203,0.73431,0.52106,0.7013,0.38162,1.7356,1.50934,1.30974,0.001703,0.001703,0.001703
14,45.7875,1.34589,1.28075,1.22165,0.82679,0.84426,0.8559,0.37995,1.73117,1.42085,1.44496,0.00167825,0.00167825,0.00167825
15,49.6604,1.3601,1.2719,1.22917,0.7775,0.79508,0.83043,0.41519,1.69955,1.40781,1.42697,0.0016535,0.0016535,0.0016535
16,53.0459,1.30995,1.25603,1.22824,0.87798,0.82787,0.89914,0.45824,1.52707,1.31029,1.30925,0.00162875,0.00162875,0.00162875
17,55.8424,1.32048,1.23084,1.21989,0.73666,0.82787,0.85269,0.47938,1.52628,1.29833,1.28093,0.001604,0.001604,0.001604
18,58.8084,1.28791,1.24538,1.21728,0.9008,0.89314,0.89843,0.43891,1.58688,1.25519,1.31658,0.00157925,0.00157925,0.00157925
19,62.6848,1.33083,1.23082,1.23459,0.6651,0.79508,0.76343,0.37778,1.62004,1.47282,1.28293,0.0015545,0.0015545,0.0015545
20,65.7532,1.29577,1.18132,1.20664,0.88438,0.7623,0.89732,0.50002,1.39539,1.15866,1.2021,0.00152975,0.00152975,0.00152975
21,68.5968,1.27344,1.15191,1.18333,0.83998,0.82787,0.88483,0.46245,1.42642,1.20534,1.21721,0.001505,0.001505,0.001505
22,71.4143,1.30535,1.15328,1.21092,0.73657,0.81148,0.84687,0.46833,1.61231,1.24503,1.37619,0.00148025,0.00148025,0.00148025
23,74.8331,1.31314,1.20326,1.22181,0.84368,0.79629,0.8772,0.50246,1.34457,1.15734,1.17357,0.0014555,0.0014555,0.0014555
24,78.4063,1.30811,1.16198,1.21016,0.81744,0.80745,0.85282,0.4123,1.51035,1.30385,1.24352,0.00143075,0.00143075,0.00143075
25,81.1199,1.27337,1.16494,1.2053,0.87253,0.81148,0.89422,0.52909,1.33223,1.29442,1.18461,0.001406,0.001406,0.001406
26,84.0442,1.26665,1.16498,1.19275,0.7525,0.77256,0.78977,0.42156,1.3817,1.51038,1.16441,0.00138125,0.00138125,0.00138125
27,87.6981,1.26483,1.15733,1.17643,0.79421,0.79088,0.85387,0.46842,1.43357,1.25964,1.22076,0.0013565,0.0013565,0.0013565
28,91.5,1.19551,1.09953,1.14509,0.75769,0.84426,0.83467,0.44289,1.38693,1.12792,1.20729,0.00133175,0.00133175,0.00133175
29,94.272,1.19936,1.05451,1.15372,0.89259,0.81148,0.91206,0.55223,1.32418,0.99661,1.18101,0.001307,0.001307,0.001307
30,97.1667,1.19487,1.05629,1.1559,0.79333,0.86885,0.92216,0.53251,1.31009,1.01751,1.16018,0.00128225,0.00128225,0.00128225
31,99.9397,1.19837,1.08153,1.15773,0.82912,0.87705,0.92644,0.52248,1.41788,0.99898,1.15346,0.0012575,0.0012575,0.0012575
32,104.144,1.17597,1.02259,1.14776,0.82535,0.8522,0.90091,0.51188,1.32407,1.02865,1.16403,0.00123275,0.00123275,0.00123275
33,107.067,1.20656,1.06186,1.15823,0.80439,0.81967,0.85797,0.4781,1.36972,1.1301,1.15844,0.001208,0.001208,0.001208
34,109.964,1.19509,1.0516,1.14768,0.77818,0.84426,0.91261,0.55103,1.30112,1.06031,1.15679,0.00118325,0.00118325,0.00118325
35,112.778,1.19564,1.06153,1.14377,0.78016,0.81148,0.86587,0.49878,1.42114,1.0495,1.19385,0.0011585,0.0011585,0.0011585
36,116.725,1.16907,1.00918,1.13326,0.8787,0.83607,0.90783,0.53649,1.39744,1.00024,1.19697,0.00113375,0.00113375,0.00113375
37,119.782,1.16948,0.98528,1.16012,0.88518,0.82147,0.91477,0.55586,1.35489,0.98576,1.2572,0.001109,0.001109,0.001109
38,122.721,1.16633,0.98388,1.14383,0.97892,0.82787,0.9461,0.58028,1.31477,0.91086,1.11641,0.00108425,0.00108425,0.00108425
39,125.572,1.17354,0.97581,1.1457,0.90994,0.87705,0.9502,0.58125,1.28373,0.90289,1.13347,0.0010595,0.0010595,0.0010595
40,129.316,1.13546,0.94056,1.12037,0.88207,0.80328,0.92243,0.6036,1.22915,1.02225,1.06736,0.00103475,0.00103475,0.00103475
41,132.649,1.11721,0.94618,1.1228,0.88434,0.79508,0.90096,0.5814,1.27566,0.98832,1.08847,0.00101,0.00101,0.00101
42,135.662,1.14669,0.9719,1.13616,0.92397,0.81967,0.94376,0.59161,1.20742,0.91799,1.06435,0.00098525,0.00098525,0.00098525
43,138.52,1.10369,0.95117,1.10992,0.92348,0.90164,0.94893,0.58751,1.21493,0.89005,1.09385,0.0009605,0.0009605,0.0009605
44,142.002,1.0844,0.90832,1.10152,0.88114,0.85246,0.93114,0.58761,1.23882,0.88847,1.11308,0.00093575,0.00093575,0.00093575
45,145.451,1.07306,0.89035,1.10655,0.79895,0.91206,0.92656,0.574,1.29833,0.91801,1.13827,0.000911,0.000911,0.000911
46,148.297,1.06809,0.89844,1.08575,0.90488,0.87705,0.95519,0.58591,1.25715,0.91634,1.11534,0.00088625,0.00088625,0.00088625
47,151.141,1.07622,0.88788,1.1014,0.94677,0.90984,0.96966,0.62287,1.17003,0.87679,1.06063,0.0008615,0.0008615,0.0008615
48,155.755,1.07498,0.84465,1.10255,0.91782,0.91546,0.95013,0.62788,1.13914,0.86084,1.0786,0.00083675,0.00083675,0.00083675
49,159.19,1.04685,0.83367,1.08034,0.8875,0.90526,0.95474,0.63186,1.18152,0.81348,1.04648,0.000812,0.000812,0.000812
50,162.066,1.05184,0.88862,1.11395,0.87503,0.91828,0.95582,0.6357,1.16581,0.80266,1.04247,0.00078725,0.00078725,0.00078725
51,164.968,1.04122,0.86105,1.08698,0.90645,0.90164,0.96472,0.6576,1.0917,0.77238,1.01141,0.0007625,0.0007625,0.0007625
52,168.26,1.00762,0.87681,1.07761,0.87757,0.94008,0.96399,0.64379,1.0947,0.78119,1.01382,0.00073775,0.00073775,0.00073775
53,172.187,1.00892,0.83425,1.08815,0.94498,0.90164,0.97033,0.62483,1.19891,0.79488,1.05765,0.000713,0.000713,0.000713
54,175.078,1.02892,0.82963,1.08675,0.85928,0.90984,0.9508,0.59911,1.24553,0.83292,1.10987,0.00068825,0.00068825,0.00068825
55,177.989,0.98231,0.79982,1.06283,0.92213,0.92623,0.96968,0.66239,1.11542,0.71563,1.00801,0.0006635,0.0006635,0.0006635
56,180.909,0.99836,0.79067,1.05845,0.88979,0.93443,0.97115,0.67792,1.09265,0.69386,0.98511,0.00063875,0.00063875,0.00063875
57,185.039,0.97215,0.77604,1.06888,0.89456,0.90406,0.95961,0.64208,1.14206,0.69674,0.9873,0.000614,0.000614,0.000614
58,187.846,0.97284,0.79114,1.07189,0.91037,0.91582,0.97279,0.653,1.05687,0.70853,0.99463,0.00058925,0.00058925,0.00058925
59,190.679,0.97177,0.80488,1.05325,0.9196,0.89344,0.9541,0.63925,1.10457,0.74924,0.98544,0.0005645,0.0005645,0.0005645
60,193.597,0.9447,0.79042,1.04145,0.91772,0.91424,0.97064,0.65442,1.14083,0.75517,1.0491,0.00053975,0.00053975,0.00053975
61,197.884,0.97232,0.77119,1.03845,0.98599,0.88525,0.97828,0.6829,1.08323,0.69596,1.02542,0.000515,0.000515,0.000515
62,200.706,0.99084,0.78312,1.05462,0.93685,0.88525,0.96987,0.68871,1.05635,0.69832,1.00053,0.00049025,0.00049025,0.00049025
63,203.526,0.95628,0.77415,1.04036,0.93158,0.92623,0.97222,0.67846,1.06853,0.67728,0.9836,0.0004655,0.0004655,0.0004655
64,206.416,0.91545,0.7443,1.01883,0.93346,0.93443,0.97361,0.68838,1.05857,0.6542,0.99136,0.00044075,0.00044075,0.00044075
65,210.538,0.93526,0.76539,1.05167,0.91592,0.89344,0.95428,0.67291,1.07725,0.65944,0.99273,0.000416,0.000416,0.000416
66,213.563,0.89008,0.72679,1.02753,0.88758,0.93443,0.96459,0.67113,1.11391,0.70813,0.98391,0.00039125,0.00039125,0.00039125
67,216.38,0.93794,0.74311,1.04295,0.94801,0.88525,0.96996,0.69076,1.06433,0.69092,0.99257,0.0003665,0.0003665,0.0003665
68,219.219,0.90039,0.73213,1.03537,0.9539,0.84815,0.96383,0.67549,1.08981,0.71063,0.97746,0.00034175,0.00034175,0.00034175
69,222.667,0.90605,0.72831,1.03854,0.90974,0.91803,0.97102,0.66102,1.11514,0.75094,0.99865,0.000317,0.000317,0.000317
70,226.295,0.88546,0.71454,1.02429,0.95284,0.94262,0.97845,0.69994,1.02345,0.65007,0.94487,0.00029225,0.00029225,0.00029225
71,231.117,0.90895,0.76226,1.05531,0.96134,0.94262,0.98034,0.67631,1.08944,0.63934,0.96415,0.0002675,0.0002675,0.0002675
72,233.987,0.88445,0.71207,1.01916,0.95779,0.92997,0.97664,0.67938,1.10409,0.66104,0.99469,0.00024275,0.00024275,0.00024275
73,238.128,0.86665,0.66614,1.00656,0.96704,0.89344,0.97714,0.69245,1.02418,0.64125,0.95242,0.000218,0.000218,0.000218
74,241.088,0.89495,0.6894,0.99547,0.94861,0.94262,0.97953,0.69445,1.05097,0.64211,0.96037,0.00019325,0.00019325,0.00019325
75,243.838,0.83101,0.64526,0.9977,0.94279,0.94559,0.97401,0.68864,1.05953,0.65738,0.95663,0.0001685,0.0001685,0.0001685
76,246.645,0.82684,0.64402,1.00393,0.94346,0.95743,0.98107,0.70649,1.02338,0.64974,0.95484,0.00014375,0.00014375,0.00014375
77,250.334,0.829,0.62536,0.99378,0.95104,0.95536,0.9814,0.70215,1.01495,0.6424,0.94931,0.000119,0.000119,0.000119
78,253.677,0.78743,0.6,1.00277,0.95493,0.95902,0.98259,0.71364,0.99362,0.61805,0.96083,9.425e-05,9.425e-05,9.425e-05
79,256.587,0.82439,0.59952,0.98164,0.93937,0.95902,0.97814,0.70369,1.01618,0.62435,0.96311,6.95e-05,6.95e-05,6.95e-05
80,259.452,0.78486,0.59602,0.99036,0.95388,0.96721,0.98307,0.70952,0.99583,0.61181,0.9531,4.475e-05,4.475e-05,4.475e-05
