epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.42132,1.98776,4.46633,1.46265,1e-05,0.03333,0.0001,3e-05,2.05578,4.40318,1.3667,0.00014443,0.00014443,0.00014443
2,8.57469,2.03295,3.24772,1.39681,0.07774,0.3999,0.18573,0.07767,1.8285,3.95482,1.22508,0.000297,0.000297,0.000297
3,11.7152,1.93866,2.5839,1.33207,0.06551,0.35987,0.21844,0.11586,1.8436,3.87978,1.26894,0.000446491,0.000446491,0.000446491
4,15.7367,1.8742,2.33741,1.34189,0.24265,0.41168,0.26331,0.12855,1.84325,3.7393,1.35413,0.000592902,0.000592902,0.000592902
5,19.2107,1.89948,2.17769,1.38357,0.10054,0.71957,0.37887,0.20177,1.82177,3.33716,1.31108,0.000736233,0.000736233,0.000736233
6,22.2827,1.85606,1.99014,1.38247,0.71761,0.25614,0.46421,0.24987,1.81931,2.83892,1.28991,0.000876485,0.000876485,0.000876485
7,25.3354,1.79894,1.91555,1.33409,0.80111,0.37446,0.49231,0.26393,1.86734,2.6056,1.32045,0.00101366,0.00101366,0.00101366
8,29.2543,1.7699,1.87385,1.30176,0.60876,0.41359,0.41999,0.21691,1.89292,2.45848,1.39225,0.00103401,0.00103401,0.00103401
9,32.6885,1.74108,1.7179,1.30616,0.61175,0.40755,0.43405,0.19366,1.92736,2.41813,1.39635,0.00102301,0.00102301,0.00102301
10,35.7808,1.65043,1.6937,1.27336,0.77703,0.38223,0.39693,0.19221,1.9088,2.36591,1.43418,0.00101201,0.00101201,0.00101201
11,38.7174,1.64016,1.67501,1.31679,0.79089,0.46694,0.51892,0.26923,1.8847,2.02617,1.35157,0.00100101,0.00100101,0.00100101
12,42.6989,1.67621,1.69598,1.30585,0.78736,0.58013,0.62621,0.35634,1.80244,1.71537,1.3064,0.000990012,0.000990012,0.000990012
13,46.0731,1.60691,1.59259,1.24087,0.87811,0.6264,0.65586,0.35426,1.72378,1.45984,1.27014,0.000979013,0.000979013,0.000979013
14,48.9725,1.61776,1.43434,1.22811,0.90791,0.64059,0.68432,0.38686,1.65277,1.40111,1.25816,0.000968014,0.000968014,0.000968014
15,51.8883,1.67025,1.48878,1.27973,0.85308,0.61706,0.67651,0.39213,1.62324,1.48439,1.26896,0.000957015,0.000957015,0.000957015
16,55.7787,1.52036,1.45661,1.2477,0.89642,0.63661,0.69526,0.39023,1.65396,1.35725,1.25775,0.000946016,0.000946016,0.000946016
17,59.22,1.56785,1.41586,1.2162,0.87088,0.64871,0.70843,0.38519,1.67242,1.37767,1.23361,0.000935018,0.000935018,0.000935018
18,62.2966,1.55428,1.40133,1.23753,0.84623,0.65225,0.66888,0.36005,1.65219,1.34078,1.24797,0.000924019,0.000924019,0.000924019
19,65.3961,1.55514,1.42954,1.22928,0.8357,0.6522,0.68997,0.36625,1.65853,1.37322,1.24433,0.00091302,0.00091302,0.00091302
20,68.9346,1.48619,1.30874,1.19159,0.93272,0.61875,0.68342,0.37528,1.65777,1.33348,1.25686,0.000902021,0.000902021,0.000902021
21,72.5652,1.51184,1.29755,1.17113,0.86643,0.60183,0.68182,0.37263,1.6086,1.31797,1.20927,0.000891022,0.000891022,0.000891022
22,75.5799,1.47209,1.26717,1.16658,0.85649,0.6242,0.68117,0.37227,1.56243,1.30809,1.22376,0.000880023,0.000880023,0.000880023
23,78.5008,1.51096,1.37045,1.2136,0.90734,0.63073,0.68914,0.36726,1.57181,1.29648,1.22739,0.000869024,0.000869024,0.000869024
24,81.9112,1.45274,1.28056,1.15318,0.83433,0.58662,0.64668,0.36042,1.57325,1.24864,1.22826,0.000858025,0.000858025,0.000858025
25,85.7491,1.45925,1.2177,1.17371,0.93333,0.57122,0.70964,0.39275,1.58409,1.21475,1.20676,0.000847026,0.000847026,0.000847026
26,88.7591,1.48102,1.2626,1.186,0.90187,0.64479,0.70811,0.40787,1.54477,1.18953,1.22767,0.000836027,0.000836027,0.000836027
