epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0556,1.95509,3.6641,1.37066,0.0508,0.41094,0.23029,0.10152,1.34833,13.3232,0.96474,0.000357989,0.000357989,0.000357989
2,16.0161,1.79339,2.46276,1.27231,0.01861,0.42843,0.18852,0.0959,1.35647,12.0839,1.01834,0.000721112,0.000721112,0.000721112
3,23.4014,1.74946,2.10741,1.27531,0.53815,0.0664,0.25067,0.10096,1.52665,11.4364,1.15213,0.0010769,0.0010769,0.0010769
4,29.4501,1.73454,1.9777,1.25855,0.54663,0.37997,0.37454,0.13045,1.77607,9.87097,1.27962,0.001078,0.001078,0.001078
5,36.7172,1.70706,1.87911,1.28634,0.6717,0.58177,0.56695,0.2895,1.44553,8.56675,1.0399,0.001067,0.001067,0.001067
6,42.7072,1.61161,1.65023,1.21235,0.67063,0.66802,0.65319,0.33994,1.34908,9.86979,1.02629,0.00105601,0.00105601,0.00105601
7,49.9081,1.56762,1.54312,1.21327,0.72201,0.68185,0.68537,0.36471,1.25875,7.75207,0.98758,0.00104501,0.00104501,0.00104501
8,55.9486,1.57621,1.55269,1.22567,0.79222,0.57933,0.69171,0.39715,1.20774,6.78735,0.96777,0.00103401,0.00103401,0.00103401
9,63.2631,1.48685,1.44182,1.17327,0.77787,0.64145,0.70025,0.3779,1.26267,6.48683,0.99403,0.00102301,0.00102301,0.00102301
10,69.1935,1.52695,1.397,1.18834,0.80482,0.65814,0.7154,0.41377,1.20255,7.35381,0.97568,0.00101201,0.00101201,0.00101201
11,76.4942,1.43999,1.29769,1.14945,0.67491,0.67506,0.70446,0.40736,1.21758,5.48675,0.96426,0.00100101,0.00100101,0.00100101
12,82.6003,1.43829,1.27498,1.1429,0.8142,0.71566,0.76535,0.4209,1.18609,5.25896,0.93568,0.000990012,0.000990012,0.000990012
13,90.1049,1.42905,1.25702,1.14826,0.79982,0.72325,0.75803,0.46272,1.15925,6.50047,0.94627,0.000979013,0.000979013,0.000979013
14,96.2491,1.40565,1.19797,1.13857,0.87122,0.71041,0.76514,0.45255,1.15551,4.82666,0.94663,0.000968014,0.000968014,0.000968014
15,103.37,1.40062,1.1512,1.11272,0.83635,0.70518,0.76074,0.43367,1.23656,3.96376,0.96953,0.000957015,0.000957015,0.000957015
16,109.41,1.4075,1.1495,1.13214,0.78829,0.73994,0.7137,0.43547,1.13312,3.88541,0.9451,0.000946016,0.000946016,0.000946016
17,116.871,1.36355,1.15651,1.10967,0.77048,0.75654,0.74536,0.46079,1.11017,3.57941,0.925,0.000935018,0.000935018,0.000935018
18,122.856,1.34908,1.10368,1.1104,0.90091,0.68157,0.78152,0.47521,1.14827,4.78137,0.9321,0.000924019,0.000924019,0.000924019
19,130.208,1.35547,1.07089,1.10355,0.89278,0.76824,0.81399,0.49505,1.10463,3.56551,0.91391,0.00091302,0.00091302,0.00091302
20,136.151,1.30193,1.02151,1.07916,0.86862,0.73885,0.80675,0.488,1.07759,2.67315,0.90398,0.000902021,0.000902021,0.000902021
21,143.582,1.31846,1.03691,1.08561,0.90797,0.7077,0.7883,0.48424,1.09795,2.8269,0.91025,0.000891022,0.000891022,0.000891022
22,149.709,1.31908,1.02537,1.0915,0.84877,0.77628,0.81285,0.49363,1.10245,2.52879,0.90163,0.000880023,0.000880023,0.000880023
23,157.106,1.27546,1.00398,1.06883,0.9187,0.74844,0.8082,0.49641,1.0836,2.71733,0.91493,0.000869024,0.000869024,0.000869024
24,163.316,1.31662,1.02001,1.08,0.89521,0.78698,0.82589,0.51263,1.07402,2.37595,0.89959,0.000858025,0.000858025,0.000858025
25,170.801,1.26597,0.95905,1.06476,0.88044,0.79239,0.81968,0.50073,1.10648,2.65353,0.90349,0.000847026,0.000847026,0.000847026
26,176.917,1.25743,0.94737,1.06726,0.89277,0.80225,0.82665,0.48741,1.08469,2.54425,0.90143,0.000836027,0.000836027,0.000836027
27,184.223,1.251,0.94053,1.05633,0.92617,0.75231,0.82318,0.51308,1.05265,2.21266,0.9007,0.000825029,0.000825029,0.000825029
28,190.36,1.24902,0.92656,1.06057,0.88896,0.77066,0.8228,0.50632,1.08133,2.1057,0.90547,0.00081403,0.00081403,0.00081403
29,197.857,1.241,0.93266,1.06183,0.95186,0.7681,0.83359,0.51113,1.0568,2.33996,0.89337,0.000803031,0.000803031,0.000803031
30,204.064,1.21517,0.91485,1.05119,0.8637,0.79219,0.82178,0.48767,1.09785,2.00766,0.90285,0.000792032,0.000792032,0.000792032
31,211.54,1.20831,0.90466,1.02955,0.86888,0.78123,0.81789,0.507,1.05949,1.96916,0.89253,0.000781033,0.000781033,0.000781033
32,217.688,1.23531,0.90231,1.04365,0.84485,0.79408,0.80436,0.4873,1.08194,2.00064,0.90496,0.000770034,0.000770034,0.000770034
33,225.478,1.2252,0.88661,1.05249,0.92322,0.80037,0.84302,0.52908,1.06418,2.11693,0.88752,0.000759035,0.000759035,0.000759035
34,231.85,1.21028,0.87507,1.04326,0.88927,0.78705,0.83394,0.51302,1.08941,1.69716,0.90055,0.000748036,0.000748036,0.000748036
35,239.578,1.17385,0.8462,1.02257,0.86149,0.74781,0.8183,0.49967,1.0521,1.57272,0.89446,0.000737037,0.000737037,0.000737037
36,245.816,1.18014,0.85752,1.03723,0.92146,0.71442,0.83712,0.50751,1.06154,1.47089,0.90368,0.000726038,0.000726038,0.000726038
37,253.303,1.16527,0.83838,1.03154,0.91225,0.77914,0.83851,0.50739,1.06604,1.57487,0.90955,0.00071504,0.00071504,0.00071504
38,259.446,1.16784,0.82089,1.01989,0.88322,0.78595,0.82522,0.51184,1.04554,1.59005,0.88749,0.000704041,0.000704041,0.000704041
39,267,1.17007,0.82895,1.02119,0.87491,0.79974,0.82817,0.50586,1.02165,1.48756,0.88085,0.000693042,0.000693042,0.000693042
40,273.058,1.1453,0.81725,1.02485,0.9098,0.7924,0.8344,0.52892,1.03604,1.50001,0.88982,0.000682043,0.000682043,0.000682043
41,280.465,1.16523,0.83334,1.02094,0.91911,0.78874,0.83988,0.49988,1.03949,1.51947,0.89959,0.000671044,0.000671044,0.000671044
42,286.478,1.12194,0.77424,1.00275,0.89299,0.77932,0.83224,0.51631,1.0336,1.4517,0.89001,0.000660045,0.000660045,0.000660045
43,293.845,1.1546,0.81828,1.02212,0.89462,0.79159,0.8377,0.53582,1.04413,1.32884,0.89133,0.000649046,0.000649046,0.000649046
44,300.046,1.1071,0.78254,1.0042,0.93196,0.76977,0.84362,0.52796,1.02856,1.37912,0.88407,0.000638047,0.000638047,0.000638047
45,307.498,1.10709,0.78008,1.00055,0.91527,0.79886,0.84324,0.51823,1.03254,1.50402,0.89149,0.000627048,0.000627048,0.000627048
46,313.605,1.11974,0.78923,1.0128,0.94803,0.77858,0.83709,0.51871,1.03052,1.316,0.87908,0.000616049,0.000616049,0.000616049
47,321.177,1.12487,0.75402,0.9973,0.91547,0.78059,0.83963,0.53641,1.01523,1.375,0.87042,0.000605051,0.000605051,0.000605051
48,327.403,1.06509,0.76324,0.99281,0.85278,0.80811,0.83108,0.52689,1.0015,1.23162,0.87332,0.000594052,0.000594052,0.000594052
49,334.856,1.09744,0.77471,0.99531,0.91617,0.78625,0.83919,0.52434,1.01054,1.19274,0.87071,0.000583053,0.000583053,0.000583053
50,340.921,1.09561,0.77937,0.99529,0.92784,0.78717,0.84639,0.53623,1.01548,1.09139,0.87507,0.000572054,0.000572054,0.000572054
51,348.378,1.07614,0.73599,0.98008,0.90022,0.80945,0.84962,0.54959,0.99318,1.11196,0.87083,0.000561055,0.000561055,0.000561055
52,354.394,1.06311,0.736,0.98764,0.92918,0.79961,0.85725,0.53711,0.99194,1.03831,0.86884,0.000550056,0.000550056,0.000550056
53,361.914,1.09443,0.72387,0.98644,0.92542,0.79912,0.85292,0.53302,0.98767,1.15421,0.86507,0.000539057,0.000539057,0.000539057
54,368.001,1.08653,0.72696,0.99329,0.94125,0.7991,0.84265,0.5321,0.99983,1.12741,0.87867,0.000528058,0.000528058,0.000528058
55,375.432,1.04047,0.72815,0.97684,0.94984,0.77825,0.85827,0.54466,0.99688,1.15687,0.86431,0.000517059,0.000517059,0.000517059
56,381.52,1.07734,0.72202,0.9816,0.91827,0.82061,0.85832,0.5599,0.97078,1.1509,0.87179,0.00050606,0.00050606,0.00050606
57,389.007,1.04308,0.72303,0.98094,0.93918,0.79855,0.84879,0.55554,0.9898,1.12157,0.8718,0.000495062,0.000495062,0.000495062
58,395.441,1.04805,0.69711,0.97245,0.90689,0.79921,0.85049,0.54208,1.01388,1.03176,0.8653,0.000484063,0.000484063,0.000484063
59,402.593,1.07938,0.72762,0.98632,0.90954,0.81367,0.85381,0.53196,1.02641,1.05044,0.8715,0.000473064,0.000473064,0.000473064
60,408.933,1.07738,0.71008,0.99008,0.91185,0.8037,0.84956,0.53807,0.99699,1.04078,0.8691,0.000462065,0.000462065,0.000462065
61,416.069,1.04904,0.70763,0.98045,0.92086,0.79353,0.85638,0.54715,0.98479,0.98846,0.85682,0.000451066,0.000451066,0.000451066
62,422.484,1.04281,0.70364,0.9725,0.90342,0.80692,0.85253,0.55501,0.97799,0.95686,0.86613,0.000440067,0.000440067,0.000440067
63,429.692,1.01068,0.67192,0.97171,0.94099,0.79563,0.85524,0.55995,0.9584,0.9652,0.85598,0.000429068,0.000429068,0.000429068
64,436.231,1.04501,0.69738,0.99214,0.94621,0.80332,0.85872,0.55974,0.95823,0.96299,0.85102,0.000418069,0.000418069,0.000418069
65,443.265,1.03767,0.7109,0.98208,0.9348,0.78319,0.85927,0.56703,0.9497,0.90631,0.85472,0.00040707,0.00040707,0.00040707
