violation_id,track_id,class,barrier_state,start_time,end_time,duration,best_conf,best_box,entry_frame,exit_frame,snapshot_path
1,1,two wheeler,closing,5.8596351045412165,7.391130643228126,1.53,0.9010060429573059,"[42.312137603759766, 220.6869659423828, 152.3616943359375, 398.8822326660156]",176,222,violation_snapshots\track_1.jpg
2,2,two wheeler,closing,5.8596351045412165,7.59089093088294,1.73,0.9262795448303223,"[805.43017578125, 76.47731018066406, 864.9235229492188, 216.3522491455078]",176,228,violation_snapshots\track_2.jpg
3,3,two wheeler,closing,7.923824743640964,9.854840857637502,1.93,0.9040430188179016,"[599.9169921875, 158.51084899902344, 698.0853271484375, 340.82989501953125]",238,296,violation_snapshots\track_3.jpg
4,6,rickshaw,closing,11.586096683979225,15.647889199627114,4.06,0.9379233121871948,"[354.85302734375, 93.5399169921875, 545.4586791992188, 272.1557312011719]",348,470,violation_snapshots\track_6.jpg
5,10,two wheeler,closing,14.715674523904648,16.047409774936742,1.33,0.9081932902336121,"[611.2808837890625, 309.8410949707031, 807.9359130859375, 610.5703735351562]",442,482,violation_snapshots\track_10.jpg
6,8,two wheeler,closing,12.78465840990811,16.113996537488347,3.33,0.9158974885940552,"[560.4727172851562, 213.88487243652344, 720.6878051757812, 382.6852111816406]",384,484,violation_snapshots\track_8.jpg
7,9,car,closing,13.583699560527366,17.71207883872686,4.13,0.9710710644721985,"[20.999391555786133, 416.4520568847656, 160.11029052734375, 720.0]",408,532,violation_snapshots\track_9.jpg
8,11,two wheeler,closing,15.847649487281927,17.97842588893328,2.13,0.9556276202201843,"[772.3363647460938, 90.90995025634766, 880.4933471679688, 244.95413208007812]",476,540,violation_snapshots\track_11.jpg
9,13,car,closing,15.647889199627114,19.77626847782661,4.13,0.9775218963623047,"[114.18873596191406, 276.66143798828125, 355.5122985839844, 512.4371337890625]",470,594,violation_snapshots\track_13.jpg
10,15,two wheeler,closing,16.113996537488347,20.442136103342655,4.33,0.9348948001861572,"[80.64312744140625, 451.4247131347656, 572.8291015625, 687.5276489257812]",484,614,violation_snapshots\track_15.jpg
11,17,two wheeler,closing,17.44573178852044,20.64189639099747,3.2,0.9404626488685608,"[50.76388168334961, 286.406005859375, 147.60072326660156, 505.2903137207031]",524,620,violation_snapshots\track_17.jpg
12,12,cycle,closing,17.179384738314024,20.84165667865228,3.66,0.9444414973258972,"[497.5832214355469, 419.07501220703125, 618.3697509765625, 652.3089599609375]",516,626,violation_snapshots\track_12.jpg
13,21,two wheeler,closing,17.84525236383007,21.773871354374748,3.93,0.9310051798820496,"[257.84423828125, 256.12451171875, 357.78070068359375, 400.3062744140625]",536,654,violation_snapshots\track_21.jpg
14,25,two wheeler,closing,19.909442002929815,21.907044879477958,2.0,0.9536316990852356,"[687.2704467773438, 142.66650390625, 777.9823608398438, 318.57843017578125]",598,658,violation_snapshots\track_25.jpg
15,27,two wheeler,closing,22.572912504994004,23.438540418164866,0.87,0.924655020236969,"[871.1008911132812, 66.20975494384766, 952.981689453125, 192.587890625]",678,704,violation_snapshots\track_27.jpg
16,29,two wheeler,closing,22.90584631775203,24.903449194300173,2.0,0.9227555394172668,"[791.6572265625, 68.31714630126953, 857.1676025390625, 183.5336456298828]",688,748,violation_snapshots\track_29.jpg
17,27,two wheeler,closing,23.9046477560261,25.635903582367824,1.73,0.9227591753005981,"[531.3378295898438, 388.1211853027344, 654.20556640625, 618.2230834960938]",718,770,violation_snapshots\track_27.jpg
18,38,two wheeler,closing,25.369556532161404,27.300572646157942,1.93,0.9230947494506836,"[186.95091247558594, 340.22015380859375, 305.7737121582031, 553.4615478515625]",762,820,violation_snapshots\track_38.jpg
19,39,two wheeler,closing,25.902250632574244,28.765481422293245,2.86,0.914372444152832,"[175.03048706054688, 272.5616760253906, 260.0204772949219, 422.41925048828125]",778,864,violation_snapshots\track_39.jpg
20,30,rickshaw,closing,25.635903582367824,30.23039019842855,4.59,0.9354174137115479,"[358.1940612792969, 357.5048828125, 632.1414794921875, 720.0]",770,908,violation_snapshots\track_30.jpg
21,41,two wheeler,closing,31.89505926221867,35.62391796510853,3.73,0.9464530348777771,"[778.5372314453125, 183.97085571289062, 852.0887451171875, 352.7557678222656]",958,1070,violation_snapshots\track_41.jpg
